Latitude, Longitude, Elevation, HorasDisconfort
1.25, -78.64, 145.00, 2500
-1.59, -78.44, 3605.00, 6284
-1.24, -80.67, 223.00, 2411
-0.87, -79.94, 150.00, 2096
-1.34, -78.06, 1303.00, 3872
-4.02, -79.94, 1495.00, 4290
-2.10, -79.58, 10.00, 2471
-3.62, -79.67, 1240.00, 4039
-0.06, -78.74, 1726.00, 5293
0.56, -78.05, 2539.00, 5050
-1.42, -78.70, 3814.00, 6279
-2.72, -79.40, 1870.00, 5257
-1.80, -79.32, 27.00, 2324
-1.93, -76.92, 356.00, 3161
0.89, -79.29, 198.00, 2421
-1.33, -78.62, 2870.00, 5422
0.40, -77.84, 3064.00, 5744
-1.13, -80.72, 95.00, 2025
-3.70, -79.46, 2275.00, 5162
-1.09, -79.22, 826.00, 3871
-2.57, -80.32, 17.00, 2572
0.61, -79.95, 35.00, 2241
-1.10, -78.64, 3026.00, 5752
-0.73, -78.51, 3503.00, 6020
-1.02, -78.54, 3089.00, 5773
-2.14, -78.99, 2269.00, 5597
-3.64, -79.64, 1137.00, 3954
-3.28, -79.04, 2824.00, 5284
-4.10, -79.43, 1603.00, 4349
0.12, -78.63, 1385.00, 4823
-2.71, -79.64, 24.00, 2480
-2.15, -79.40, 46.00, 2387
-1.97, -80.05, 8.00, 2513
-0.17, -78.43, 2420.00, 4971
-2.69, -79.01, 3618.00, 6362
-1.45, -80.39, 405.00, 2858
-0.05, -78.60, 2726.00, 5266
-4.27, -79.82, 1539.00, 4386
0.13, -76.91, 311.00, 3058
-4.49, -78.80, 1469.00, 4551
-0.34, -77.12, 272.00, 2871
-4.01, -78.60, 1675.00, 4581
-1.01, -75.60, 220.00, 2704
-2.86, -78.89, 2531.00, 5235
-2.77, -78.97, 2821.00, 5407
-3.94, -79.63, 1518.00, 4321
0.07, -77.98, 3941.00, 6637
-1.36, -80.21, 153.00, 2154
-3.88, -79.89, 1252.00, 4092
-0.02, -78.25, 2805.00, 5017
-0.19, -77.96, 3193.00, 5902
0.49, -78.22, 2583.00, 5260
-1.86, -78.28, 2849.00, 5689
0.11, -76.50, 303.00, 2675
-3.56, -79.66, 1552.00, 4373
-2.90, -78.93, 2807.00, 5372
-3.68, -78.59, 881.00, 3586
0.16, -78.84, 1374.00, 5025
-1.55, -80.47, 277.00, 2606
-1.33, -79.72, 35.00, 2375
-1.64, -79.92, 19.00, 2473
-4.14, -80.25, 607.00, 3451
-2.02, -78.93, 1958.00, 5195
0.11, -76.21, 259.00, 2701
-3.70, -80.11, 93.00, 2509
-2.70, -78.60, 2883.00, 5330
-2.08, -78.75, 3294.00, 5865
-0.43, -78.91, 1497.00, 4909
-1.70, -78.00, 883.00, 3877
-3.07, -78.53, 1626.00, 3574
-2.47, -79.42, 53.00, 2359
-0.42, -76.06, 280.00, 2992
-0.91, -78.16, 3507.00, 6316
-1.09, -78.58, 2648.00, 5428
-0.37, -78.16, 3764.00, 6243
-3.92, -78.58, 1523.00, 4383
-1.24, -78.74, 3509.00, 6058
-3.38, -79.77, 113.00, 2286
0.19, -78.36, 3015.00, 5380
-2.15, -77.66, 599.00, 3336
-4.08, -80.40, 763.00, 3635
-2.08, -79.51, 17.00, 2424
-1.19, -79.55, 37.00, 2355
-3.67, -79.76, 934.00, 3659
0.05, -78.72, 1818.00, 5335
-3.44, -78.68, 1368.00, 4205
0.22, -78.27, 2661.00, 5191
-4.66, -79.23, 2189.00, 5436
1.31, -78.92, 8.00, 2424
-0.60, -79.42, 163.00, 2187
-2.84, -78.21, 1227.00, 4122
-2.79, -78.78, 2664.00, 5204
0.07, -79.86, 360.00, 2862
-1.83, -80.32, 102.00, 2482
-1.69, -80.57, 609.00, 3403
0.15, -79.06, 512.00, 3303
-1.35, -78.53, 2574.00, 5318
-1.58, -78.51, 3177.00, 5713
0.36, -78.59, 2038.00, 5252
0.55, -77.75, 3153.00, 5785
-1.28, -78.58, 2616.00, 5320
-0.95, -79.85, 106.00, 2097
-3.63, -79.91, 185.00, 2458
-0.28, -78.27, 3943.00, 6215
-1.35, -78.83, 3972.00, 6555
-1.00, -79.00, 2883.00, 5933
-1.16, -78.51, 3043.00, 5718
0.36, -77.95, 2376.00, 5347
-1.78, -79.57, 3.00, 2490
-2.60, -78.72, 3129.00, 5592
-1.39, -78.63, 3054.00, 5694
-1.15, -79.00, 2419.00, 5714
-3.67, -79.70, 1112.00, 3848
-0.45, -78.34, 3401.00, 5896
0.65, -77.78, 2955.00, 5278
-2.26, -78.88, 2473.00, 5424
0.34, -78.42, 2978.00, 5367
-0.88, -78.71, 3442.00, 5936
-0.05, -78.46, 2481.00, 4914
-0.42, -76.68, 254.00, 2990
-3.73, -79.61, 736.00, 3416
-1.08, -80.46, 53.00, 1931
-2.69, -80.28, 18.00, 2546
-4.13, -80.05, 1597.00, 4379
-1.15, -78.56, 2833.00, 5562
-3.02, -78.72, 3219.00, 5793
-3.27, -79.69, 527.00, 3250
-4.95, -79.12, 1092.00, 4212
-3.18, -79.53, 2744.00, 5772
-0.98, -80.31, 201.00, 2033
-1.55, -79.54, 11.00, 2417
-1.50, -78.44, 3738.00, 6325
0.08, -78.38, 2616.00, 5190
-0.17, -78.37, 2385.00, 4976
-0.74, -90.31, 1000.00, 3467
-0.91, -89.61, 1000.00, 3364
-0.05, -76.03, 262.00, 2989
-1.33, -80.70, 218.00, 2467
0.03, -75.84, 232.00, 3010
0.15, -77.55, 985.00, 3462
-0.35, -79.36, 269.00, 2690
-1.60, -80.74, 279.00, 2849
-0.97, -77.66, 762.00, 3681
-0.65, -77.17, 313.00, 2956
-1.09, -77.75, 456.00, 3250
-1.43, -79.54, 25.00, 2439
0.16, -79.24, 181.00, 2269
-0.10, -75.45, 216.00, 2802
-0.95, -90.97, 1000.00, 3385
-2.28, -78.81, 3478.00, 6181
-2.62, -77.27, 265.00, 2973
-2.84, -80.12, 1000.00, 3934
-1.86, -78.50, 4112.00, 6700
-1.76, -78.67, 3088.00, 5669
-4.22, -79.36, 2522.00, 5193
-1.47, -77.99, 948.00, 3975
-1.43, -78.59, 3233.00, 5863
-1.02, -79.48, 79.00, 2247
-4.29, -79.41, 1897.00, 4645
-4.39, -79.27, 2560.00, 5328
-1.38, -78.69, 3656.00, 6228
-3.06, -78.94, 2932.00, 5486
0.71, -80.07, 99.00, 2223
-1.14, -79.36, 70.00, 2269
-0.93, -80.08, 200.00, 2096
0.30, -78.39, 3287.00, 5777
-1.19, -78.72, 3583.00, 6287
-0.21, -78.52, 3017.00, 5470
-1.08, -79.09, 1857.00, 5724
-2.94, -78.73, 3058.00, 5568
-2.86, -78.96, 2552.00, 5222
-1.56, -79.38, 38.00, 2370
-0.56, -79.95, 515.00, 3110
-2.38, -78.38, 3263.00, 6137
-3.13, -79.72, 391.00, 2963
-2.34, -76.56, 277.00, 2802
-1.30, -78.22, 1834.00, 5150
-1.90, -76.25, 210.00, 2871
-1.67, -78.66, 2765.00, 5431
-0.99, -80.39, 174.00, 2045
1.02, -79.43, 7.00, 2295
-2.52, -78.68, 2769.00, 5345
-2.17, -79.51, 24.00, 2475
-0.91, -80.41, 32.00, 1956
0.97, -79.37, 68.00, 2286
0.35, -77.51, 970.00, 3125
0.24, -79.52, 97.00, 2235
-0.10, -76.96, 319.00, 3024
-1.45, -78.63, 3569.00, 6220
-1.93, -80.26, 64.00, 2439
-4.00, -79.06, 2974.00, 5653
-4.21, -80.15, 578.00, 3440
-4.36, -79.83, 753.00, 3561
-4.15, -79.53, 1519.00, 4275
-1.64, -80.80, 178.00, 2342
-1.32, -78.58, 2723.00, 5364
-3.77, -79.50, 1514.00, 4183
0.33, -79.96, 1000.00, 2919
0.11, -78.42, 2071.00, 5106
-4.13, -80.11, 737.00, 3524
-1.65, -77.89, 928.00, 3918
-0.67, -79.08, 1098.00, 3408
-0.44, -76.99, 247.00, 2925
-0.99, -78.72, 3307.00, 5951
-1.68, -78.52, 3753.00, 6406
-1.88, -79.20, 1761.00, 5686
-1.37, -78.32, 2217.00, 5342
-0.46, -78.44, 3349.00, 5724
0.49, -78.14, 1636.00, 4885
-1.38, -79.11, 2435.00, 5961
-3.59, -79.52, 2024.00, 4459
-1.99, -79.76, 6.00, 2486
-1.52, -78.75, 3609.00, 6256
-1.10, -78.54, 2967.00, 5552
-4.80, -79.33, 2366.00, 5170
0.03, -78.44, 2552.00, 5155
-3.04, -78.37, 1015.00, 3820
-1.55, -78.52, 2808.00, 5417
-3.53, -79.23, 2696.00, 5338
0.32, -78.17, 2421.00, 5159
-3.98, -79.66, 1146.00, 3977
-0.66, -80.19, 19.00, 1992
-2.60, -79.23, 1706.00, 4549
-3.54, -80.01, 81.00, 2403
-3.01, -78.85, 2598.00, 5358
-1.21, -78.65, 3177.00, 5809
0.42, -78.27, 2753.00, 5090
-1.11, -79.42, 73.00, 2252
-3.31, -78.29, 1818.00, 4281
-2.54, -79.47, 46.00, 2384
-0.40, -76.89, 266.00, 2991
-2.84, -78.85, 2559.00, 5189
0.31, -78.19, 2597.00, 5139
0.27, -77.90, 3251.00, 6172
-3.51, -79.11, 2946.00, 5342
-3.14, -79.27, 2980.00, 5405
-1.22, -78.80, 4146.00, 6754
0.69, -80.00, 124.00, 2230
-2.71, -78.19, 816.00, 3581
-0.18, -79.81, 188.00, 2235
0.85, -79.11, 58.00, 2252
-2.71, -78.88, 2675.00, 5237
-4.71, -79.03, 2149.00, 5398
0.57, -77.82, 2791.00, 5237
-3.13, -79.21, 2923.00, 5495
-1.64, -78.62, 2662.00, 5373
0.51, -79.88, 64.00, 2211
0.60, -78.00, 3185.00, 5636
-2.18, -78.15, 1500.00, 3725
-0.37, -80.20, 185.00, 2127
-3.74, -80.00, 527.00, 3267
-1.61, -80.14, 41.00, 2400
-0.77, -79.51, 106.00, 2199
-3.28, -78.49, 1633.00, 3246
-2.07, -79.71, 7.00, 2489
-0.15, -79.42, 259.00, 2678
1.07, -78.77, 32.00, 2347
-2.90, -79.19, 3723.00, 6599
-2.31, -80.83, 50.00, 2651
0.90, -78.97, 17.00, 2273
0.37, -78.19, 2269.00, 5159
3.50, -79.88, 31.00, 2532
-1.66, -79.02, 2699.00, 6004
-0.82, -77.42, 383.00, 3051
-0.18, -77.17, 383.00, 3065
0.19, -78.49, 2481.00, 5236
-2.89, -77.75, 234.00, 2926
-0.52, -77.32, 353.00, 2945
0.25, -78.35, 2805.00, 5253
-3.14, -78.94, 2775.00, 5572
-1.53, -78.55, 2930.00, 5390
-2.02, -79.19, 1141.00, 4574
-3.63, -79.66, 988.00, 3743
-2.96, -78.82, 2511.00, 5258
-3.15, -78.56, 1569.00, 3225
-3.52, -79.76, 771.00, 3438
0.27, -78.23, 2755.00, 5126
-0.68, -78.64, 3353.00, 5777
-1.65, -79.56, 19.00, 2433
-1.69, -78.93, 3738.00, 6486
1.27, -78.80, 41.00, 2376
-1.09, -80.87, 233.00, 2475
-3.75, -79.24, 2582.00, 5351
-1.71, -78.64, 2665.00, 5446
-0.41, -77.16, 290.00, 2968
-2.79, -78.33, 738.00, 3518
-1.25, -79.22, 482.00, 3180
-2.98, -78.75, 3021.00, 5537
-1.77, -79.04, 2867.00, 6075
-3.15, -78.24, 1101.00, 3913
-3.32, -78.87, 2505.00, 5494
0.36, -78.09, 2244.00, 5062
-0.03, -78.96, 868.00, 3900
-1.03, -78.50, 3281.00, 5870
-2.80, -78.84, 2784.00, 5293
-1.20, -78.53, 2809.00, 5514
0.21, -78.17, 2836.00, 5184
-1.81, -79.07, 2304.00, 5979
-3.62, -79.30, 2843.00, 5411
-0.90, -77.72, 676.00, 3556
-3.96, -79.45, 2230.00, 5021
-0.15, -76.84, 292.00, 2955
-0.17, -79.56, 185.00, 2194
-4.23, -79.18, 1818.00, 4565
-1.06, -80.14, 413.00, 2903
0.43, -77.91, 2252.00, 5360
-3.27, -79.54, 1592.00, 3145
0.30, -78.22, 2621.00, 5151
-3.74, -79.68, 1046.00, 3784
-0.32, -76.40, 249.00, 2968
-1.69, -79.05, 2667.00, 6144
-3.39, -79.42, 1710.00, 3349
-0.22, -77.02, 323.00, 2976
-1.08, -79.97, 409.00, 2852
-1.64, -78.92, 3395.00, 6127
-2.87, -78.65, 2725.00, 5290
-0.68, -77.51, 1163.00, 3908
-4.39, -79.36, 2095.00, 4846
-4.06, -78.81, 1509.00, 4471
-0.43, -77.87, 1918.00, 5433
-1.54, -78.67, 3639.00, 6242
-1.34, -77.88, 986.00, 3028
-1.07, -78.40, 3555.00, 6230
-1.57, -78.83, 4028.00, 6494
0.85, -79.62, 10.00, 2142
-1.21, -80.06, 105.00, 2126
0.18, -78.23, 3011.00, 5277
-1.74, -78.99, 2625.00, 5823
-0.56, -80.33, 168.00, 2043
-1.76, -78.04, 1045.00, 4102
-0.35, -78.44, 2590.00, 5120
-4.47, -79.53, 1904.00, 4861
-2.97, -78.91, 2900.00, 5383
-1.23, -80.36, 132.00, 1999
0.60, -77.52, 3199.00, 5895
0.08, -76.99, 332.00, 3064
-1.26, -77.86, 868.00, 3806
0.33, -76.27, 268.00, 2778
-1.61, -79.03, 2893.00, 6063
-1.50, -78.57, 3566.00, 6114
-3.30, -79.36, 1511.00, 4249
-1.72, -80.03, 9.00, 2497
-0.65, -75.64, 212.00, 2731
-0.58, -79.23, 420.00, 3063
-1.01, -80.85, 240.00, 2458
-2.40, -78.20, 1161.00, 4144
0.65, -77.76, 2832.00, 5306
-1.30, -78.68, 3125.00, 5859
-0.04, -78.28, 2576.00, 5002
-2.63, -79.68, 0.00, 2462
0.17, -77.14, 409.00, 3001
-3.44, -79.93, 8.00, 2193
-0.21, -77.79, 2546.00, 5742
-0.48, -90.45, 1000.00, 3529
-3.87, -79.76, 1062.00, 3807
-4.53, -79.38, 2378.00, 5082
-1.73, -78.94, 3988.00, 6717
-3.20, -78.48, 1229.00, 4072
-1.77, -78.73, 3406.00, 6018
-3.03, -78.04, 299.00, 2838
-3.80, -79.29, 2462.00, 5326
-0.23, -79.14, 489.00, 3293
0.68, -79.16, 192.00, 2380
-0.84, -78.70, 3057.00, 5696
-3.67, -79.84, 323.00, 2885
-3.63, -79.23, 2524.00, 5363
-1.80, -77.43, 447.00, 3276
-2.80, -79.17, 3796.00, 6658
-3.56, -79.35, 2886.00, 5375
0.27, -78.50, 2371.00, 5310
0.92, -78.88, 69.00, 2387
-2.30, -78.82, 3150.00, 5850
-2.80, -78.62, 3080.00, 5672
-2.48, -77.89, 839.00, 3741
0.09, -77.15, 400.00, 3051
-1.49, -78.06, 1100.00, 3098
-2.66, -78.12, 1373.00, 3195
-2.19, -78.91, 3094.00, 5840
-2.82, -78.97, 2598.00, 5299
-0.17, -76.76, 291.00, 2982
-0.62, -78.91, 2474.00, 5401
-3.07, -78.76, 3281.00, 6067
-1.27, -78.98, 2739.00, 5751
-2.00, -79.45, 21.00, 2409
-2.97, -78.79, 2604.00, 5314
-1.90, -77.69, 535.00, 3389
-2.17, -80.36, 138.00, 2494
-2.85, -79.02, 2699.00, 5398
-3.62, -79.58, 1646.00, 3072
-2.81, -78.93, 2579.00, 5229
-4.25, -79.79, 1084.00, 3934
-2.92, -78.30, 1065.00, 3974
0.77, -79.89, 139.00, 2324
-1.30, -80.42, 175.00, 2085
-1.24, -78.40, 3656.00, 6415
-2.45, -78.20, 1043.00, 4025
-0.49, -77.72, 2733.00, 5696
-2.46, -79.07, 2721.00, 5885
-3.42, -79.20, 2548.00, 5158
-0.14, -78.36, 2418.00, 4940
0.06, -78.22, 2913.00, 5193
0.78, -79.73, 144.00, 2275
-4.43, -79.73, 2036.00, 5206
0.94, -79.60, 174.00, 2249
-2.66, -78.71, 3339.00, 5861
-2.39, -77.52, 493.00, 3223
-1.05, -78.17, 1900.00, 5213
1.18, -78.89, 9.00, 2348
-0.76, -78.65, 3031.00, 5567
-3.92, -79.29, 1974.00, 4096
-0.54, -76.78, 283.00, 2908
-0.19, -76.26, 240.00, 2962
-1.97, -79.81, 2.00, 2580
-3.00, -79.04, 2742.00, 5491
-1.57, -77.96, 928.00, 3849
-2.43, -79.64, 6.00, 2469
-2.66, -78.28, 810.00, 3584
-1.68, -79.19, 1423.00, 4217
-0.98, -77.81, 499.00, 3313
-3.13, -79.80, 8.00, 2263
-3.01, -79.79, 8.00, 2328
-1.36, -77.94, 1053.00, 3091
-4.10, -78.90, 1365.00, 4318
0.99, -78.86, 51.00, 2329
-0.93, -79.10, 1553.00, 5268
-0.79, -75.67, 208.00, 2720
-1.35, -78.67, 3224.00, 5848
-4.20, -80.06, 1149.00, 4001
-0.71, -78.76, 3606.00, 6016
1.02, -78.43, 674.00, 2726
0.05, -78.30, 2873.00, 5149
-0.39, -91.51, 1000.00, 3420
-2.72, -78.68, 2775.00, 5278
0.77, -79.94, 83.00, 2139
0.88, -79.77, 70.00, 2221
-3.59, -79.85, 520.00, 3108
-0.77, -80.30, 45.00, 2049
-2.22, -80.71, 90.00, 2575
1.05, -78.67, 247.00, 2783
-2.61, -78.40, 1998.00, 5356
-0.37, -77.89, 2242.00, 5532
-0.15, -76.62, 292.00, 3011
-2.07, -78.19, 1740.00, 4792
-3.41, -79.34, 1856.00, 3902
-0.41, -78.56, 2812.00, 5395
0.60, -78.90, 411.00, 3057
-2.15, -78.77, 3347.00, 5959
-1.31, -78.61, 2735.00, 5422
-3.47, -78.96, 2619.00, 5457
-3.35, -79.60, 650.00, 3348
-2.28, -79.13, 705.00, 3520
-0.33, -79.65, 194.00, 2231
-0.14, -78.42, 2345.00, 4955
-0.96, -78.90, 3486.00, 6196
-0.17, -76.93, 311.00, 2960
0.76, -77.87, 3507.00, 6087
0.77, -77.76, 3109.00, 5643
1.14, -78.63, 96.00, 2455
0.46, -78.20, 2143.00, 5126
-0.22, -78.39, 2360.00, 4984
-3.61, -78.45, 1129.00, 4041
0.10, -78.19, 2990.00, 5272
-2.95, -79.02, 2642.00, 5434
-2.73, -78.91, 2893.00, 5316
-2.69, -77.51, 232.00, 2929
-1.38, -78.37, 2467.00, 5383
-1.17, -78.59, 2689.00, 5490
-0.39, -76.78, 265.00, 2981
0.99, -78.69, 108.00, 2412
0.78, -77.70, 2999.00, 5406
0.42, -78.18, 2148.00, 5095
-3.64, -79.17, 2815.00, 5476
-4.38, -79.68, 1773.00, 4678
-0.41, -78.52, 2800.00, 5108
0.31, -78.54, 1980.00, 5292
1.21, -78.98, 5.00, 2330
-0.78, -79.31, 242.00, 2667
-4.46, -79.14, 2452.00, 5296
-2.94, -78.97, 2649.00, 5289
-1.73, -80.19, 75.00, 2405
-0.07, -79.24, 341.00, 2835
-1.55, -78.61, 3425.00, 5982
-1.04, -79.67, 70.00, 2225
-1.46, -79.45, 19.00, 2367
-1.53, -77.89, 1077.00, 3124
-3.98, -79.92, 1551.00, 4332
0.63, -79.55, 55.00, 2210
-3.42, -79.83, 44.00, 2273
-3.07, -79.12, 3040.00, 5708
-4.28, -79.23, 1785.00, 4625
-1.73, -78.79, 3378.00, 5993
-1.49, -79.72, 24.00, 2365
-2.27, -79.67, 10.00, 2562
0.89, -79.71, 41.00, 2218
-2.19, -79.67, 12.00, 2536
-4.00, -79.69, 1021.00, 3890
-1.47, -78.68, 3636.00, 6236
-4.39, -79.18, 2424.00, 5238
-3.78, -78.77, 962.00, 3735
-0.19, -78.30, 3052.00, 5394
-0.77, -75.35, 194.00, 2683
-2.81, -78.01, 658.00, 3443
-2.89, -78.47, 2563.00, 5571
-3.94, -79.51, 1714.00, 4438
-4.16, -79.00, 1853.00, 4722
-0.46, -79.98, 193.00, 2129
-1.30, -79.42, 59.00, 2255
-4.36, -80.26, 282.00, 3243
-3.69, -79.61, 1329.00, 4107
-3.11, -79.39, 3494.00, 6228
-2.95, -78.88, 2949.00, 5317
-2.45, -78.99, 3230.00, 6053
-2.19, -78.40, 2982.00, 5666
-4.85, -79.18, 1484.00, 4605
-3.96, -78.75, 1204.00, 4025
-4.25, -78.75, 1043.00, 3943
-1.29, -79.91, 36.00, 2148
-0.13, -80.05, 169.00, 2182
-0.56, -75.81, 219.00, 2698
